,id,duration,definition,rating,views,likes,categories
76,Y1SekvuZ3M4,PT52M33S,hd,{},893030,28017,['Knowledge']
77,Aj7HLsJenVg,PT2H57M40S,hd,{},268352,7851,['Knowledge']
78,Zee665ssm8Y,PT9M7S,hd,{},73362,1989,['Knowledge']
79,DEwgZNC-KyE,PT22M55S,hd,{},907371,17920,['Knowledge']
80,XwcJ9_hijdk,PT57M58S,hd,{},547803,9477,['Knowledge']
81,wBXZD436JAg,PT30M,hd,{},69202,549,['Knowledge']
82,0K_eZGS5NsU,PT26M18S,hd,{},53624,2427,['Knowledge']
83,dVg0zFhSDhU,PT39M55S,hd,{},24585,607,['Knowledge']
84,YnL9vAFphmE,PT4M4S,hd,{},360133,16807,['Knowledge']
85,BgxklT94W0I,PT4M57S,hd,{},380065,14855,['Knowledge']
86,uuhi830wOzs,PT3H32S,hd,{},218999,5457,['Knowledge']
87,HWW-jA6YjHk,PT53M41S,hd,{},493278,5405,['Knowledge']
88,tcxYkk16BCI,PT39M10S,hd,{},1528921,16711,['Knowledge']
89,WZHx1h6f2W0,PT13M1S,hd,{},509954,13591,['Knowledge']
90,cdCeU8DJvPM,PT27M4S,hd,{},580309,5402,['Knowledge']
91,RNRmh9hMmtA,PT14M23S,hd,{},48797,984,['Knowledge']
92,BCZWQTY9xPE,PT13M47S,hd,{},214485,3736,['Knowledge']
93,YH7Y08vvork,PT10M3S,hd,{},39040,1297,['Knowledge']
94,TgCKJU3JvO4,PT22M5S,hd,{},107242,2450,['Knowledge']
95,p65AHm9MX80,PT3H47M8S,hd,{},750314,14426,['Knowledge']
96,B_17_RORoiI,PT1H31M25S,hd,{},360453,4303,['Knowledge']
97,DwufbZraBZs,PT51M34S,hd,{},61660,1611,['Knowledge']
98,DIxu_7y8IE8,PT20M28S,sd,{},26467,450,['Knowledge']
99,cc0HOiKN_ac,PT1H47M50S,hd,{},37696,1488,['Knowledge']
100,Cml1_aZhywo,PT5M37S,hd,{},248541,5443,['Knowledge']
101,55F8K6IKHAs,PT10M21S,hd,{},70763,1628,['Knowledge']
102,O3i-145ATog,PT34M31S,hd,{},107382,1663,['Knowledge']
103,KwUY2fZ04Bg,PT40M49S,hd,{},63440,1792,['Knowledge']
104,dpRaVN9NkP8,PT12M18S,hd,{},5513,164,['Knowledge']
105,2QSTG80J_oY,PT34M3S,hd,{},10073,140,['Knowledge']
106,r-uOLxNrNk8,PT4H22M13S,hd,{},2282777,49409,['Knowledge']
107,W1dzfYW4-KQ,PT1H25M58S,hd,{},49937,910,['Knowledge']
108,UARBitWTIwQ,PT10H29M35S,hd,{},79070,2185,"['Knowledge', 'Technology']"
109,GPVsHOlRBBI,PT9H56M23S,hd,{},1619677,43250,['Knowledge']
110,a9UrKTVEeZA,PT22M1S,hd,{},1345015,28882,['Knowledge']
111,iNEwkaYmPqY,PT13M56S,hd,{},62118,3261,['Knowledge']
112,WcDaZ67TVRo,PT3H57M46S,hd,{},897439,16937,['Knowledge']
113,LHBE6Q9XlzI,PT12H19M52S,hd,{},2487937,61834,['Knowledge']
114,mkYBJwX_dMs,PT18M18S,hd,{},19172,638,['Knowledge']
115,VsztBAEtC7c,PT8M38S,hd,{},35368,1112,['Knowledge']
116,PNg2HrBuc5U,PT6H39M57S,hd,{},17691,522,['Knowledge']
117,sZDgJKI8DAM,PT2H48M51S,hd,{},136572,5291,['Knowledge']
118,ZyhVh-qRZPA,PT23M1S,hd,{},857260,14565,['Knowledge']
119,AYWLZ1lES6g,PT10M55S,hd,{},1260870,55307,"['Knowledge', 'Technology']"
120,1gdKC5O0Pwc,PT11M51S,hd,{},155509,3750,['Knowledge']
121,eMOA1pPVUc4,PT1H26M7S,hd,{},1164125,35111,['Knowledge']
122,m2pUda4UcMI,PT6H57M29S,hd,{},25843,750,['Knowledge']
123,G9NmACvXh8w,PT2H33M46S,hd,{},79783,1587,['Knowledge']
124,woPRf0xb9bA,PT7H13M37S,hd,{},70205,2085,"['Knowledge', 'Technology']"
125,8d7ywKCm6HI,PT41M35S,hd,{},49129,1199,['Knowledge']
126,R67XuYc9NQ4,PT44M55S,hd,{},17599,778,['Knowledge']
127,-o3AxdVcUtQ,PT29M59S,hd,{},247675,5057,['Knowledge']
128,p04t7Ho-DEM,PT7M42S,hd,{},118663,4077,['Knowledge']
129,Zcy-ND_4ydQ,PT13M7S,hd,{},198972,8169,"['Knowledge', 'Technology']"
130,CC66RXeTn_4,PT12M30S,hd,{},926246,38145,"['Knowledge', 'Technology']"
131,b0L47BeklTE,PT6M58S,hd,{},54929,838,['Knowledge']
132,EvnpoUTXA0E,PT9M31S,hd,{},45307,326,['Knowledge']
133,JTj-WgWLKFM,PT9M21S,sd,{},128922,1100,['Knowledge']
134,feDJkDaNuOk,PT12M48S,hd,{},957,22,['Knowledge']
135,J8n1JJJVBl8,PT18M58S,hd,{},881,22,['Knowledge']
136,R15LjD8aCzc,PT17M46S,hd,{},89874,1643,['Knowledge']
137,CVszSgTWODE,PT2H31M32S,hd,{},67673,1342,['Knowledge']
138,erfZsVZbGJI,PT10M47S,hd,{},63070,431,['Knowledge']
139,X3ek_HIkZcQ,PT2M21S,hd,{},32813,317,['Knowledge']
140,wH_ezgftiy0,PT10M35S,hd,{},3420,54,['Knowledge']
141,2Bgma44OAF4,PT25M20S,hd,{},5088,164,['Knowledge']
142,pAwQOOnKfvs,PT13M41S,hd,{},1001,16,['Knowledge']
143,B0gMrsRatts,PT14M31S,hd,{},2225,41,['Knowledge']
144,pqNCD_5r0IU,PT2H54M25S,hd,{},342908,6595,['Knowledge']
145,Q_7JaAp4emM,PT13M18S,hd,{},8787,179,['Knowledge']
146,8jazNUpO3lQ,PT15M14S,hd,{},656737,9002,['Knowledge']
147,lfuJgQwY6Po,PT19M10S,hd,{},4549,205,['Knowledge']
148,WngoqVB6cXw,PT22M,hd,{},89592,2324,['Knowledge']
149,Lky_OGhKT4I,PT9M13S,hd,{},6297,101,['Knowledge']
150,wi6VoJcLyag,PT11M40S,hd,{},12505,199,['Knowledge']
151,3Q6gzUPecLE,PT11M3S,hd,{},498,23,['Knowledge']
152,A2zlm3NkeDk,PT7M9S,hd,{},3318,34,['Knowledge']
153,Wug_OEuKC9E,PT3M9S,hd,{},878,3,['Knowledge']
154,b99vG2kaXyE,PT5M10S,hd,{},4594,35,['Knowledge']
155,_AJT-RND5NQ,PT19M17S,hd,{},379,29,['Knowledge']
156,VcrW7BCJLK4,PT6M33S,hd,{},3526,71,['Knowledge']
157,7kQFjENzHJc,PT31M29S,hd,{},897,24,['Knowledge']
158,b8dDlE0oBWg,PT16M53S,hd,{},716,12,['Knowledge']
159,QmiBdHLyWnY,PT23M34S,hd,{},1044,46,['Knowledge']
160,e-NyZ9Wq9mA,PT11M13S,hd,{},1371,29,['Knowledge']
161,3OrEsC-QjUA,PT32M47S,hd,{},188198,2392,['Knowledge']
162,KRhv4iPgzHE,PT9M55S,hd,{},490848,2375,"['Knowledge', 'Technology']"
163,x8GiogC4SdE,PT35M41S,hd,{},123067,1147,['Knowledge']
164,Mi9APJdsjaA,PT11M46S,hd,{},3180,65,['Knowledge']
165,NJ3_apdjFZY,PT29M55S,hd,{},52507,706,['Knowledge']
166,F4vpJJH2PZU,PT1H2M52S,hd,{},509642,7879,"['Knowledge', 'Technology']"
167,e8g9eNnFpHQ,PT10M43S,hd,{},100040,2090,['Knowledge']
168,92q_iJHjZ1g,PT5M36S,hd,{},12114,150,['Knowledge']
169,4H3AGK_hNMA,PT10M38S,hd,{},22004,333,['Knowledge']
170,B928IDexsGk,PT33M19S,hd,{},24706,350,['Knowledge']
171,nL9dnvoF_ng,PT29M13S,hd,{},57071,1251,['Knowledge']
172,QSefStjPAvI,PT7M50S,hd,{},48116,3110,['Knowledge']
173,1pA64-foiz8,PT51M15S,hd,{},81489,1041,['Knowledge']
174,7vV6Vj-lhOM,PT11M50S,hd,{},109438,1138,['Knowledge']
175,HXV3zeQKqGY,PT4H20M39S,hd,{},13630609,264449,['Knowledge']
176,ZeFNp74OspQ,PT19M22S,hd,{},9053,130,['Knowledge']
177,ea0HhETxOIs,PT44M39S,hd,{},57482,638,['Knowledge']
178,BJ2SCZEkKoQ,PT15M23S,hd,{},71522,744,['Knowledge']
179,OoD0OiOMfHc,PT9M45S,hd,{},13351,175,['Knowledge']
180,2i4t-SL1VsU,PT9M6S,sd,{},918583,5618,['Knowledge']
181,duEkh8ZsFGs,PT43M26S,hd,{},125833,1371,['Knowledge']
182,AHFBPxWebFQ,PT9M12S,hd,{},15570,223,['Knowledge']
183,7Na3T4WdIko,PT24M9S,hd,{},11488,146,['Knowledge']
184,UOJZTqA5Loc,PT6M12S,hd,{},537710,24161,['Knowledge']
185,5vzCjvUwMXg,PT20M22S,hd,{},733683,8577,['Knowledge']
186,jBzwzrDvZ18,PT10H11M52S,hd,{},1250709,33892,['Knowledge']
187,rHux0gMZ3Eg,PT1H2M36S,hd,{},1202821,23560,['Knowledge']
188,PtQiiknWUcI,PT7H10M5S,hd,{},807324,18724,['Knowledge']
189,cJveiktaOSQ,PT9M43S,hd,{},110230,3502,['Knowledge']
190,o0XbHvKxw7Y,PT18H32M46S,hd,{},866570,29097,['Knowledge']
191,F5mRW0jo-U4,PT3H45M41S,hd,{},3530422,46858,['Knowledge']
192,c708Nf0cHrs,PT7H1M40S,hd,{},260254,5174,['Knowledge']
193,I6N5xf8NOz0,PT3M2S,hd,{},42047,830,['Knowledge']
194,Q3_kKvFeAlI,PT29S,hd,{},26178,925,['Knowledge']
